setting,variant,n_L,label_unit,arm,estimand,population,gene,estimator,variance,n_draws,n_finite,frac_nonfinite,coverage,width_mean,width_median,nominal,theta_full,cluster_variance_form,df_cluster,status
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,FLNB,pp,cluster,200,200.0,0.0,0.97,0.5358946889823009,0.40537145075687997,0.9,0.18433884195751551,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,FLNB,pp,boot,200,200.0,0.0,0.945,0.41777668091527526,0.32238359174242187,0.9,0.18433884195751551,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GADD45B,classical,iid,200,200.0,0.0,0.08,0.021714552464735633,0.02035963394310064,0.9,0.025135851082861857,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GADD45B,classical,cluster,200,200.0,0.0,0.93,0.7192955277716055,0.6975028168050383,0.9,0.025135851082861857,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GADD45B,classical,boot,200,200.0,0.0,0.88,0.5599885246413744,0.5395118996193906,0.9,0.025135851082861857,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GADD45B,pp,iid,200,200.0,0.0,0.14,0.01772309116935051,0.01598697251975339,0.9,0.025135851082861857,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GADD45B,pp,cluster,200,200.0,0.0,1.0,0.44660475263587185,0.3902114724328436,0.9,0.025135851082861857,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GADD45B,pp,boot,200,200.0,0.0,0.995,0.3551877995874182,0.3070858480160582,0.9,0.025135851082861857,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GPNMB,classical,iid,200,200.0,0.0,0.035,0.02069039736227902,0.020526956445493294,0.9,0.11258529270561994,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GPNMB,classical,cluster,200,200.0,0.0,0.895,0.693514503342119,0.6557989930398106,0.9,0.11258529270561994,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GPNMB,classical,boot,200,200.0,0.0,0.84,0.5302322524218556,0.5044255731043059,0.9,0.11258529270561994,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GPNMB,pp,iid,200,200.0,0.0,0.08,0.017242179832759805,0.017352402635095895,0.9,0.11258529270561994,separate,5.0,ok
