encoder,task,label_set,design,fold,K,n_units_total,calibration_unit,n_cal,n_test,between_share,between_share_q25,between_share_q75,between_var,within_var,n_genes,n_cal_draws,coverage_observed,width_observed,miss_above,miss_below,calibration_unit_a1,block_fold,shortfall,score,uses_test_labels
resnet50,PRAD,shipped,slide_out,MEND142,6.0,7.0,slide,15520.0,2997.0,0.10226340187643576,0.07212536909964999,0.19572818583070709,0.011403450855450012,0.11031613844063881,50,3,0.951237904571238,2.160614131403705,0.0386119452786119,0.0101501501501501,slide,False,-0.051237904571238,abs,True
resnet50,PRAD,shipped,slide_out,MEND143,6.0,7.0,slide,14208.0,3816.0,0.09527931060274457,0.058873945049488,0.1463559701404456,0.010080176679142246,0.10183818125187044,50,3,0.9625244584206848,1.9724186956065983,0.0362368972746331,0.001238644304682,slide,False,-0.06252445842068477,abs,True
resnet50,PRAD,shipped,slide_out,MEND144,6.0,7.0,slide,16752.0,4074.0,0.09953935163402908,0.07742593462834248,0.15480780767515637,0.010599571385696852,0.10288958962935106,50,3,0.9810734740631648,2.126935641890069,0.0168728522336769,0.0020536737031582,slide,False,-0.08107347406316479,abs,True
resnet50,PRAD,shipped,slide_out,MEND145,6.0,7.0,slide,16945.0,1418.0,0.09650942378198749,0.0684250000378997,0.130654039188782,0.012243299317970885,0.12569661492457965,50,3,0.9395345557122708,2.132037917791236,0.0592853784673248,0.0011800658204043,slide,False,-0.039534555712270825,abs,True
resnet50,PRAD,shipped,slide_out,MEND146,6.0,7.0,slide,16031.0,1964.0,0.1159238152833661,0.08167212846539995,0.1604247420366529,0.013594390901775777,0.10996735369429167,50,3,0.956704005431093,2.012369566802229,0.0411676849966055,0.0021283095723014,slide,False,-0.056704005431092996,abs,True
resnet50,PRAD,shipped,slide_out,MEND147,6.0,7.0,slide,17576.0,2335.0,0.08998570068566043,0.06328806862783175,0.12060189594938883,0.012607288427966268,0.1291002665509064,50,3,0.9568508208422556,2.238507728671998,0.0374104211277658,0.0057387580299785,slide,False,-0.05685082084225557,abs,True
resnet50,PRAD,shipped,slide_out,MEND148,6.0,7.0,slide,17771.0,1633.0,0.11557380031573249,0.07284897544658056,0.15791238171136296,0.012657241820751952,0.11745690508133255,50,3,0.981698305776689,2.1340815867588265,0.0136803429271279,0.0046213512961828,slide,False,-0.08169830577668902,abs,True
resnet50,PRAD,shipped,slide_out,MEND149,6.0,7.0,slide,14119.0,1851.0,0.102276677287549,0.06717741384180889,0.12550093683464858,0.01187442923865166,0.11694318154610844,50,3,0.9559913560237708,2.0231212133576832,0.0290869800108049,0.014921663965424,slide,False,-0.05599135602377081,abs,True
resnet50,PRAD,shipped,slide_out,MEND150,6.0,7.0,slide,16530.0,1751.0,0.11683578252074173,0.0938144962665527,0.15216786567789356,0.017878890182593032,0.1417058665807293,50,3,0.8927241576242148,2.223995562790656,0.0984542166381115,0.0088216257376737,slide,False,0.007275842375785269,abs,True
resnet50,PRAD,shipped,slide_out,MEND151,6.0,7.0,slide,17768.0,2600.0,0.07026315608008957,0.047947297170804634,0.09306526082139843,0.009255062699537422,0.13271717072129668,50,3,0.9392871794871795,2.1817990561950986,0.0232794871794871,0.0374333333333333,slide,False,-0.039287179487179524,abs,True
resnet50,PRAD,shipped,slide_out,MEND152,6.0,7.0,slide,15288.0,3082.0,0.0873975333836748,0.05486767054884135,0.11527382261825694,0.010437653892509821,0.12325899330759654,50,3,0.929372701708847,2.2008048615099622,0.048587497296128,0.0220398009950248,slide,False,-0.029372701708846982,abs,True
resnet50,PRAD,shipped,slide_out,MEND153,6.0,7.0,slide,17157.0,1820.0,0.14639098734933267,0.08877168114276357,0.21106649922887322,0.02023821996131607,0.12116185847164121,50,3,0.8944395604395604,2.200885268648916,0.1025018315018315,0.003058608058608,slide,False,0.005560439560439612,abs,True
resnet50,PRAD,shipped,slide_out,MEND154,6.0,7.0,slide,15722.0,2736.0,0.09226565298626319,0.05646971227871843,0.12948867904682052,0.009746460966995552,0.1111491832017971,50,3,0.8614278752436647,2.064923719165716,0.078287037037037,0.0602850877192982,slide,False,0.03857212475633531,abs,True
resnet50,PRAD,shipped,slide_out,MEND156,6.0,7.0,slide,16860.0,3554.0,0.11633502069818322,0.08984665821736912,0.1380971744921026,0.019411282147373955,0.1540748531503978,50,3,0.7192290377039955,1.938568258759197,0.2046032639279685,0.076167698368036,slide,False,0.18077096229600453,abs,True
resnet50,PRAD,shipped,slide_out,MEND157,6.0,7.0,slide,15574.0,3190.0,0.09601501424775613,0.06969798331929022,0.12382933374964895,0.01056708978720125,0.11652623639391696,50,3,0.821692789968652,1.933486463393287,0.0957722048066875,0.0825350052246604,slide,False,0.078307210031348,abs,True
resnet50,PRAD,shipped,slide_out,MEND158,6.0,7.0,slide,17384.0,3092.0,0.13202114167660495,0.1069342742809934,0.17051219317411764,0.022525262802997742,0.15335650943992785,50,3,0.8933635187580854,2.2410587485643223,0.0695235015092712,0.0371129797326433,slide,False,0.006636481241914627,abs,True
resnet50,PRAD,shipped,slide_out,MEND159,6.0,7.0,slide,14863.0,3856.0,0.15999491434385388,0.11937187340509077,0.20376111521382445,0.02167171477907069,0.11356392869968274,50,3,0.7058454356846472,1.879673950286272,0.0535615491009681,0.2405930152143845,slide,False,0.19415456431535283,abs,True
resnet50,PRAD,shipped,slide_out,MEND160,6.0,7.0,slide,16221.0,4079.0,0.12311159684859801,0.06887597380476261,0.186752751389008,0.019322849312223958,0.12542031819154867,50,3,0.8949579145215331,2.20307599446851,0.0271994769959957,0.0778426084824712,slide,False,0.005042085478466962,abs,True
resnet50,PRAD,shipped,slide_out,MEND161,6.0,7.0,slide,17190.0,2775.0,0.1322481846353414,0.10474150667882201,0.16567982310444596,0.019498467468718736,0.1359579114922558,50,3,0.7777033033033033,2.068478919457699,0.1803099099099099,0.0419867867867867,slide,False,0.12229669669669674,abs,True
resnet50,PRAD,shipped,slide_out,MEND162,6.0,7.0,slide,14971.0,2609.0,0.07925992452741207,0.046732110415568066,0.14491689375063077,0.007855988625108945,0.09924982780171748,50,3,0.9510157148332694,1.9431457352447463,0.0278012009709978,0.0211830841957327,slide,False,-0.05101571483326939,abs,True
resnet50,READ,shipped,donor,READ_specimen1,1.0,2.0,slide,1691.0,4588.0,0.042645103539885876,0.013789868305854516,0.08027039906544252,0.007190298200301454,0.12409865599234464,50,1,0.894295906763314,2.1192581804096533,0.0451320202772853,0.0605720729594007,slide,False,0.00570409323668597,abs,True
resnet50,READ,shipped,donor,READ_specimen7,1.0,2.0,slide,2385.0,3819.0,0.10855368074945632,0.07143462695436845,0.16120380343568871,0.015502795899229323,0.15130255018247712,50,1,0.665764657430092,1.3572083989008492,0.184318661823097,0.1499166807468108,slide,False,0.23423534256990797,abs,True
resnet50,READ,shipped,patient,0,1.0,2.0,slide,1691.0,4588.0,0.042645103539885876,0.013789868305854516,0.08027039906544252,0.007190298200301454,0.12409865599234464,50,1,0.894295906763314,2.1192581804096533,0.0451320202772853,0.0605720729594007,slide,False,0.00570409323668597,abs,True
