encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite,superseded_label_set
uni_v2,CCRCC,shipped,donor,anchor_a1,INT4,2,scaled,donor,35996,18248,1349,1,0.9452631578947368,2.1705779556196405,2.41216749163976,0.01343217197924388,0.04130467012601928,2.31808313008381,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT4,2,abs,donor,24159,7814,1349,1,0.8636471460340993,1.8893308946517116,2.5859912894383172,0.012038547071905112,0.12431430689399554,0.944665447325858,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT4,2,scaled,donor,24159,7814,1349,1,0.953031875463306,2.195931287671385,2.3957495461322638,0.012957746478873235,0.03401037805782061,2.389886358664577,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT4,2,abs,block,24159,7814,1349,1,0.794677538917717,1.6213258630998053,2.7413054996422392,0.016367679762787253,0.1889547813194959,0.8106629315499022,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT4,2,scaled,block,24159,7814,1349,1,0.890659747961453,1.786402692792988,2.257750146577006,0.01909562638991846,0.0902446256486286,1.9575129142317877,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT5,0,abs,donor,35996,24596,1186,1,0.24290050590219228,1.86471258806698,17.999861416305137,0.7512984822934233,0.005801011804384486,0.932356294033492,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT5,0,scaled,donor,35996,24596,1186,1,0.3062394603709951,2.3413866571371673,14.758681223252644,0.6913322091062395,0.0024283305227655984,2.4001857834153237,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT5,0,abs,donor,24154,7790,1186,1,0.25591905564924117,1.892132758619473,17.22749595925217,0.7371500843170318,0.0069308600337268135,0.9460663793097391,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT5,0,scaled,donor,24154,7790,1186,1,0.3501011804384484,2.4999384258702158,13.445840054317811,0.6475716694772344,0.0023271500843170317,2.5221049567093283,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT5,0,abs,block,24154,7790,1186,1,0.21160202360876898,1.5828388561421736,18.87655783442937,0.7777403035413154,0.01065767284991568,0.7914194280710858,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT5,0,scaled,block,24154,7790,1186,1,0.25551433389544703,1.9133212116999123,16.505501702332616,0.7378414839797641,0.006644182124789209,1.9190037401436524,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT5,1,abs,donor,35996,17266,1186,1,0.26709949409780775,2.0231006821112936,17.77659657583424,0.7312816188870153,0.0016188870151770656,1.0115503410556463,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT5,1,scaled,donor,35996,17266,1186,1,0.3266441821247893,2.473338374939142,15.23842515820644,0.6730522765598651,0.0003035413153456998,2.6348305250141113,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT5,1,abs,donor,24202,7847,1186,1,0.26880269814502517,2.023232725275841,17.698312065285496,0.7297470489038784,0.0014502529510961209,1.0116163626379189,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT5,1,scaled,donor,24202,7847,1186,1,0.3350421585160202,2.497668463514506,15.11300034797775,0.6647892074198988,0.00016863406408094435,2.6559526729137493,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT5,1,abs,block,24202,7847,1186,1,0.19779089376053968,1.5382948604950828,20.747784633533037,0.7949578414839796,0.007251264755480609,0.7691474302475414,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT5,1,scaled,block,24202,7847,1186,1,0.22482293423271496,1.7900346882931784,18.875341133480653,0.7715177065767286,0.003659359190556494,1.8930009502973923,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT5,2,abs,donor,35996,22330,1186,1,0.2642158516020236,1.9175490958967571,17.4026292470829,0.7297301854974704,0.0060539629005059,0.9587745479483755,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT5,2,scaled,donor,35996,22330,1186,1,0.31042158516020224,2.2541863346803264,15.22728476942326,0.6884148397976392,0.0011635750421585156,2.332030732035353,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT5,2,abs,donor,24164,7850,1186,1,0.2742327150084316,1.9371131960300993,16.78651786946117,0.7193086003372683,0.006458684654300167,0.9685565980150492,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT5,2,scaled,donor,24164,7850,1186,1,0.33824620573355824,2.3453587700867033,14.324613963736732,0.6603035413153457,0.0014502529510961213,2.42990677776904,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT5,2,abs,block,24164,7850,1186,1,0.2224620573355818,1.5913564410603025,18.731700310113602,0.7661045531197301,0.011433389544688024,0.7956782205301504,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT5,2,scaled,block,24164,7850,1186,1,0.26927487352445184,1.9033061037410366,16.604413696900966,0.7243001686340641,0.006424957841483978,1.952838649841218,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT6,0,abs,donor,35996,17592,1678,1,0.9026579261025032,2.3103406125454056,2.7771041256610367,0.028760429082240767,0.06858164481525626,1.1551703062727001,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT6,0,scaled,donor,35996,17592,1678,1,0.9281406436233616,2.514333571076099,2.8601887528467738,0.03094159713945174,0.04091775923718712,3.0289432630445305,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT6,0,abs,donor,24164,7945,1678,1,0.910071513706794,2.320927856618328,2.7410885951857353,0.028748510131108466,0.061179976162097735,1.160463928309162,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT6,0,scaled,donor,24164,7945,1678,1,0.9422646007151368,2.581559908432396,2.8827409856515143,0.03137067938021454,0.026364719904648407,3.0907561457828403,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT6,0,abs,block,24164,7945,1678,1,0.7757330154946364,1.613399568309722,2.934865251087812,0.07858164481525624,0.14568533969010727,0.8066997841548593,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT6,0,scaled,block,24164,7945,1678,1,0.7962336114421931,1.6614981726781266,2.786567491288182,0.08402860548271755,0.11973778307508942,1.9906375368760516,False,False
