encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite
hoptimus0,COAD,shipped,donor,C_unit,COAD_donor_TENX111,2,scaled,donor,2438,714,5079,1,0.8738531206930494,7.113654834801166,8.815272730377092,0.050041346721795624,0.07610553258515453,8.057258929941156,False
hoptimus0,COAD,shipped,donor,C_block,COAD_donor_TENX111,2,abs,block,2438,714,5079,1,0.6926481590864347,2.226455013008678,6.998988283411543,0.09297893286079935,0.21437290805276624,1.1132275065043395,False
hoptimus0,COAD,shipped,donor,C_block,COAD_donor_TENX111,2,scaled,block,2438,714,5079,1,0.6963654262650125,2.480360844174996,7.0414732723062885,0.10128765505020673,0.20234691868478044,2.699472351620427,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_1,0,abs,donor,7015,4010,20761,1,0.9223756081113623,4.789454329269557,6.327400898614896,0.01920427725061413,0.058420114638023234,2.394727164634897,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_1,0,scaled,donor,7015,4010,20761,1,0.9086932228698039,6.4221569947909405,8.637877479575948,0.016170704686672123,0.0751360724435239,6.891258821474976,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_1,0,abs,donor,4872,1496,20761,1,0.914739174413564,4.763960008548118,6.411499230397097,0.019746640335243967,0.06551418525119215,2.381980004274138,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_1,0,scaled,donor,4872,1496,20761,1,0.8919502914117817,41.75204243179156,44.33760830340461,0.015295024324454502,0.09275468426376382,38.97627390355411,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_1,0,abs,block,4872,1496,20761,1,0.691889600693608,2.1422627785079995,8.458887233145584,0.06006550744183807,0.24804489186455367,1.0711313892540217,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_1,0,scaled,block,4872,1496,20761,1,0.68709118057897,2.1652101608206418,8.734269187358771,0.07373247916767013,0.2391763402533596,2.4378689399626663,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_1,1,abs,donor,7015,7760,20761,1,0.8544309040990318,3.7570129928276477,5.6756224479097455,0.07614084099995183,0.06942825490101631,1.8785064964139204,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_1,1,scaled,donor,7015,7760,20761,1,0.8642271566880209,4.126188031841397,6.014934968820597,0.06471557246760754,0.07105727084437165,3.98542428056371,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_1,1,abs,donor,4568,1570,20761,1,0.8589884880304417,3.8424210450026983,5.525054297982699,0.07829006309907999,0.06272144887047831,1.9212105225012255,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_1,1,scaled,donor,4568,1570,20761,1,0.8666085448677809,4.298994549307274,6.003159711980581,0.06662973845190502,0.06676171668031405,4.44974131576275,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_1,1,abs,block,4568,1570,20761,1,0.6737276624440054,2.320919588052703,7.396030507736791,0.17415153412648718,0.15212080342950726,1.160459794026421,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_1,1,scaled,block,4568,1570,20761,1,0.7039323731997499,2.6028150832375303,7.313553609687177,0.14945137517460622,0.14661625162564423,2.470738571341228,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_1,2,abs,donor,7015,3005,20761,1,0.8450209527479414,3.7757375795834736,6.464830293320664,0.037062761909349255,0.11791628534270987,1.887868789791626,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_1,2,scaled,donor,7015,3005,20761,1,0.8689234622609702,8.420773973801097,10.817747567104677,0.04753528250084292,0.08354125523818698,9.270038168294997,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_1,2,abs,donor,4851,1593,20761,1,0.8421906459226435,3.749341089673753,6.450151586558803,0.03927845479504841,0.11853089928230816,1.8746705448369267,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_1,2,scaled,donor,4851,1593,20761,1,0.8893608207697121,19.59225098118455,21.43593747262119,0.04304513270073696,0.0675940465295506,21.68784013020415,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_1,2,abs,block,4851,1593,20761,1,0.6544280140648333,2.0183167397103374,8.966227007316444,0.08879052068782814,0.2567814652473388,1.009158369855221,False
hoptimus0,IDC,shipped,donor,C_block,IDC_shipped_patient_1,2,scaled,block,4851,1593,20761,1,0.688507297336352,2.2144643613103914,8.419206230890028,0.08392081306295461,0.2275718896006936,2.3541019253807414,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_2,0,abs,donor,7015,4010,7760,1,0.8981675257731956,4.941124343730851,7.650004161358403,0.09179896907216499,0.010033505154639175,2.4705621718654585,False
hoptimus0,IDC,shipped,donor,anchor_a1,IDC_shipped_patient_2,0,scaled,donor,7015,4010,7760,1,0.8753505154639174,9.03749715018489,12.414724479984702,0.1123608247422681,0.012288659793814431,11.7192971394333,False
hoptimus0,IDC,shipped,donor,C_unit,IDC_shipped_patient_2,0,abs,donor,5221,1474,7760,1,0.89534793814433,4.947619750721904,7.731446261969198,0.09163402061855676,0.013018041237113403,2.4738098753610176,False
