key,value,unit,source,note
lambda_median_theta3_CCRCC_merged_spot_uni_v2_nL6,0.47665855610918645,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_uni_v2_nL6,0.8387799572791379,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_uni_v2_nL8,0.7740574822446731,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_uni_v2_nL8,0.7120131402036874,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_uni_v2_nL12,0.39355181237149517,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_uni_v2_nL12,0.7941552168866948,ratio,b1_estimates.csv,
lambda_median_theta3_IDC_donor_hoptimus0_nL2,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_IDC_donor_hoptimus0_nL2,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_IDC_donor_permuted_nL2,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_IDC_donor_permuted_nL2,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_IDC_donor_resnet50_nL2,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_IDC_donor_resnet50_nL2,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_IDC_donor_uni_v2_nL2,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_IDC_donor_uni_v2_nL2,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_IDC_spot_hoptimus0_nL2,0.6623721993163669,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_IDC_spot_hoptimus0_nL2,0.7811476318261249,ratio,b1_estimates.csv,
lambda_median_theta3_IDC_spot_permuted_nL2,0.5121176211035987,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_IDC_spot_permuted_nL2,0.8347543494530978,ratio,b1_estimates.csv,
lambda_median_theta3_IDC_spot_resnet50_nL2,0.5856143586142402,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_IDC_spot_resnet50_nL2,0.8247368281034513,ratio,b1_estimates.csv,
lambda_median_theta3_IDC_spot_uni_v2_nL2,0.63394179148254,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_IDC_spot_uni_v2_nL2,0.864980299201777,ratio,b1_estimates.csv,
lambda_median_theta3_LYMPH_IDC_donor_hoptimus0_nL2,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_LYMPH_IDC_donor_hoptimus0_nL2,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_LYMPH_IDC_donor_permuted_nL2,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_LYMPH_IDC_donor_permuted_nL2,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_LYMPH_IDC_donor_resnet50_nL2,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_LYMPH_IDC_donor_resnet50_nL2,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_LYMPH_IDC_donor_uni_v2_nL2,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_LYMPH_IDC_donor_uni_v2_nL2,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_LYMPH_IDC_spot_hoptimus0_nL2,0.18303477913297939,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_LYMPH_IDC_spot_hoptimus0_nL2,1.446395389014375,ratio,b1_estimates.csv,
lambda_median_theta3_LYMPH_IDC_spot_permuted_nL2,0.3513445884195861,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_LYMPH_IDC_spot_permuted_nL2,1.4879466426787737,ratio,b1_estimates.csv,
lambda_median_theta3_LYMPH_IDC_spot_resnet50_nL2,0.2125083189191562,lambda,b1_estimates.csv,
