encoder,task,fold,gene,pearson,n_train,n_test
resnet50,COAD,1,TYMS,0.7846940327041874,10572,5079
resnet50,COAD,1,UGT2B17,0.2757765419563623,10572,5079
resnet50,HCC,0,AC092069.1,0.06310435113051861,1941,2255
resnet50,HCC,0,ACTA2,0.0515221158289532,1941,2255
resnet50,HCC,0,AEBP1,0.1449216249767816,1941,2255
resnet50,HCC,0,ASPM,0.11546178333578862,1941,2255
resnet50,HCC,0,BEST1,0.060922219207324,1941,2255
resnet50,HCC,0,C11orf96,-0.03484262032166431,1941,2255
resnet50,HCC,0,CAVIN3,-0.08282782162481303,1941,2255
resnet50,HCC,0,CCL21,-0.01706418487315913,1941,2255
resnet50,HCC,0,CCN1,0.007055560127014321,1941,2255
resnet50,HCC,0,CXCL10,0.06536430068668075,1941,2255
resnet50,HCC,0,CXCL9,0.05060071519362179,1941,2255
resnet50,HCC,0,CYP2E1,-0.07874911134677857,1941,2255
resnet50,HCC,0,ELN,0.11125029964581648,1941,2255
resnet50,HCC,0,ETNPPL,0.041399195348970776,1941,2255
resnet50,HCC,0,FBLN2,-0.02080619848776087,1941,2255
resnet50,HCC,0,FBLN5,0.021106122733820107,1941,2255
resnet50,HCC,0,GJA4,-0.008310427055238854,1941,2255
resnet50,HCC,0,HAMP,-0.031195713856865467,1941,2255
