metric,scope,value,n,note
width_ratio_over_pooled_by_encoder,donor_set=24 arm=K10 method=hcp encoder=resnet50,1.9558243058308409,72,
width_ratio_over_pooled_by_encoder,donor_set=24 arm=K10 method=dwr encoder=resnet50,1.4315192259554053,72,
width_ratio_over_pooled_by_encoder,donor_set=24 arm=K10 method=hcp encoder=uni_v2,1.9417620926457289,72,
width_ratio_over_pooled_by_encoder,donor_set=24 arm=K10 method=dwr encoder=uni_v2,1.4265339875406968,72,
hcp_coverage_within_0.92_0.95,donor_set=24 arm=K10,0.023148148148148147,216,"the memo's 'most likely 0.92 to 0.95' band, as a fraction of cells"
hcp_coverage_upper_bound_0.90_plus_2_over_11,donor_set=24 arm=K10,1.0,216,fraction of cells below 0.90 + 2/11 = 1.081818
pooled_coverage_K10_minus_K6,"donor_set=24, paired by encoder, fold and draw",0.00025594649492297034,216,the memo's 'unchanged by the larger K' quantity
pooled_coverage_K10_minus_K6_abs_max,"donor_set=24, paired by encoder, fold and draw",0.13145239749826265,216,
pooled_width_K10_minus_K6,"donor_set=24, paired by encoder, fold and draw",-0.007296848161994629,216,
coverage_merged_minus_24,arm=K10 method=pooled,-0.004075397886008858,423,"both pooled over encoders; the fold sets differ by one fold, so this is not a paired difference"
width_merged_minus_24,arm=K10 method=pooled,0.010423514292502656,423,
coverage_merged_minus_24,arm=K10 method=hcp,-0.002998060511584022,423,"both pooled over encoders; the fold sets differ by one fold, so this is not a paired difference"
width_merged_minus_24,arm=K10 method=hcp,-0.007582507569220631,423,
coverage_merged_minus_24,arm=K10 method=dwr,-0.006180622936142965,423,"both pooled over encoders; the fold sets differ by one fold, so this is not a paired difference"
width_merged_minus_24,arm=K10 method=dwr,-0.00545259712763313,423,
dwr_coverage_sd_within_cell_mean,"arm=K10, over 200 repetitions",0.024027352646030994,423,mean over cells of the standard deviation of coverage across the 200 repetitions
dwr_coverage_sd_within_cell_max,"arm=K10, over 200 repetitions",0.07904450866391288,423,
dwr_coverage_range_within_cell_mean,"arm=K10, over 200 repetitions",0.13354096227129242,423,
dwr_coverage_p5_mean,"arm=K10, over 200 repetitions",0.86540839174499,423,
dwr_coverage_p95_mean,"arm=K10, over 200 repetitions",0.9415314640443111,423,
dwr_n_rep_rows,arm=K10,84600.0,84600,
control_coverage_mean,arm=random method=pooled,0.880833865634279,90,
control_width_mean,arm=random method=pooled,1.6425317571541989,90,
control_coverage_mean,arm=random method=hcp,0.880833865634279,90,
control_width_mean,arm=random method=hcp,1.6425317571541989,90,
control_coverage_mean,arm=random method=dwr,0.880833865634279,90,
control_width_mean,arm=random method=dwr,1.6425317571541989,90,
