encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_T,n_C,n_E,score,weighting,subset,alpha,w3_variant,feasible_level,guaranteed_level,K,auc,auc_holdout,clip_rate,clip_rate_test,no_support,classifier_converged,n_eff_median,n_eff_frac,n_C_used,n_E_used,frac_morph_joined,n_infinite,n_spot_gene,frac_infinite,n_test_points_infinite,width_mean_spotgene,width_median,sigma_clip_lo,sigma_clip_hi,sigma_lo_hit_guard,sigma_clip_rate_cal,sigma_clip_rate_test,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,n_cells,n_slides
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,none,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.600620965583296,1.570629846098604,,,False,,,0.8832267835500445,1.600620965583296,1.600620965583296,2.165668884278572,0.0743421369066217,0.0424310795433338,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,none,all,0.2,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.2396814220591192,1.2141764575916212,,,False,,,0.77676735567479,1.2396814220591192,1.2396814220591192,1.820671375227099,0.1309726659514644,0.0922599783737455,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,W1,all,0.1,,,,,0.5548066566126101,0.4971931324398714,0.0050134288272157,0.0106689891677099,0,True,10772.041729715713,0.96437258099514,11170,18371,,0,918550,0.0,0,1.6037207454799014,1.5709776029504938,,,False,,,0.8839177037754902,1.603720567469913,1.6037272644756635,2.165013233445229,0.0739363881085155,0.0421459081159944,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,W1b,morph_joined,0.1,,,,,0.5105392547013425,0.5067484596957634,0.0050039246467817,0.0063953140876217,0,True,10181.254849836749,0.9989457270247986,10192,16731,0.911377407670695,0,836550,0.0,0,1.6045075018380128,1.5764335358911956,,,False,,,0.8836841545090703,1.6045091554920363,1.6045094725802118,2.166138874271947,0.0739286520283189,0.0423871934626108,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,none,morph_joined,0.1,,,,,,,0.0,0.0,0,True,10192.0,1.0,10192,16731,0.911377407670695,0,836550,0.0,0,1.604322536686785,1.5756236324148687,,,False,,,0.8836500885066899,1.6043225366867853,1.6043225366867853,2.166252046417356,0.0739473912464845,0.0424025202468255,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,none,morph_joined,0.2,,,,,,,0.0,0.0,0,True,10192.0,1.0,10192,16731,0.911377407670695,0,836550,0.0,0,1.241447498981432,1.216771957514173,,,False,,,0.7767229053844912,1.2414474989814324,1.2414474989814324,1.8218017960325403,0.130695422490312,0.0925816721251967,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,W2,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.600620965583296,1.570629846098604,,,False,,,0.8832267835500445,1.600620965583296,1.600620965583296,2.165668884278572,0.0743421369066217,0.0424310795433338,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,W3,all,0.1,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.600620965583296,1.570629846098604,,,False,,,0.8832267835500445,1.600620965583296,1.600620965583296,2.165668884278572,0.0743421369066217,0.0424310795433338,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,W3,all,0.2,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.2396814220591192,1.2141764575916212,,,False,,,0.77676735567479,1.2396814220591192,1.2396814220591192,1.820671375227099,0.1309726659514644,0.0922599783737455,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,abs,W3,all,8.951750067138126e-05,feasible_level,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,4.743490517492265,4.673734721002521,,,False,,,0.999882317835306,4.743490517492265,4.743490517492265,5.270411887014749,6.20390959463083e-05,5.564306874763149e-05,1200,24
